user_id,transactiondatetime,transactionamount,jupiter_coarsegrain_category
5453f139-66ef-477c-84c5-191bca9a663d,2024-08-02 04:34:40.000000,29.0,entertainment
rtQ-BZF-w6v4-85R,2024-08-02 10:35:02.000000,101.0,uncategorised
8a07083b-6fc1-49c9-b01e-f7ea1b096f87,2024-08-02 07:11:55.000000,94.0,entertainment
491b92c5-a425-4ddc-97ef-355b0460d23c,2024-08-02 11:31:44.000000,150.0,education
5453f139-66ef-477c-84c5-191bca9a663d,2024-08-02 07:39:06.000000,10.0,investments
491b92c5-a425-4ddc-97ef-355b0460d23c,2024-08-02 11:45:06.000000,101.0,education
5453f139-66ef-477c-84c5-191bca9a663d,2024-08-02 04:34:50.000000,10.0,investments
8a07083b-6fc1-49c9-b01e-f7ea1b096f87,2024-08-02 10:02:43.000000,47.0,entertainment
rtQ-BZF-w6v4-85R,2024-08-02 11:08:08.000000,20.0,food & drinks
8a07083b-6fc1-49c9-b01e-f7ea1b096f87,2024-08-02 07:36:10.000000,94.0,entertainment
491b92c5-a425-4ddc-97ef-355b0460d23c,2024-08-02 11:28:02.000000,101.0,uncategorised
d0c0a7d3-b848-451c-b0b4-42942132517a,2024-08-02 11:52:08.000000,3.5,commute
8a07083b-6fc1-49c9-b01e-f7ea1b096f87,2024-08-02 08:19:06.000000,189.0,entertainment
8a07083b-6fc1-49c9-b01e-f7ea1b096f87,2024-08-02 08:52:46.000000,189.0,entertainment
ecc50026-6871-4009-be2d-120e541a6d31,2024-08-02 05:04:53.000000,40.0,groceries
8a07083b-6fc1-49c9-b01e-f7ea1b096f87,2024-08-02 11:04:34.000000,500.0,uncategorised
ecc50026-6871-4009-be2d-120e541a6d31,2024-08-02 11:06:06.000000,25.0,commute
8a07083b-6fc1-49c9-b01e-f7ea1b096f87,2024-08-02 09:43:19.000000,94.0,entertainment
8a07083b-6fc1-49c9-b01e-f7ea1b096f87,2024-08-02 11:17:24.000000,1000.0,food & drinks
ecc50026-6871-4009-be2d-120e541a6d31,2024-08-02 04:59:24.000000,20.0,uncategorised
ecc50026-6871-4009-be2d-120e541a6d31,2024-08-02 05:06:45.000000,10.0,food & drinks
8a07083b-6fc1-49c9-b01e-f7ea1b096f87,2024-08-02 11:24:15.000000,1000.0,uncategorised
8a07083b-6fc1-49c9-b01e-f7ea1b096f87,2024-08-02 10:13:36.000000,189.0,entertainment
rtQ-BZF-w6v4-85R,2024-08-02 10:21:05.000000,13.0,groceries
491b92c5-a425-4ddc-97ef-355b0460d23c,2024-08-02 10:50:42.000000,45.0,food & drinks
ecc50026-6871-4009-be2d-120e541a6d31,2024-08-02 06:21:13.000000,20.0,food & drinks
4Vd-MTG-1x8W-FUo,2024-08-02 06:54:45.000000,1240.0,uncategorised
ecc50026-6871-4009-be2d-120e541a6d31,2024-08-02 05:14:39.000000,25.0,shopping
rtQ-BZF-w6v4-85R,2024-08-02 10:27:45.000000,300.0,uncategorised
ecc50026-6871-4009-be2d-120e541a6d31,2024-08-02 06:29:34.000000,20.0,medical
rtQ-BZF-w6v4-85R,2024-08-02 10:31:37.000000,13.0,groceries
491b92c5-a425-4ddc-97ef-355b0460d23c,2024-08-11 15:02:39.000000,101.0,entertainment
d75377ae-75c6-4812-869d-391faffc29f7,2024-08-11 14:19:12.000000,23.0,food & drinks
a1bce1a3-4873-4f07-add3-2a5704de40b7,2024-08-11 14:00:34.000000,150.0,entertainment
rtQ-BZF-w6v4-85R,2024-08-11 16:50:16.000000,13.0,groceries
d75377ae-75c6-4812-869d-391faffc29f7,2024-08-11 15:44:58.000000,101.0,entertainment
491b92c5-a425-4ddc-97ef-355b0460d23c,2024-08-11 12:58:19.000000,99.37,shopping
5453f139-66ef-477c-84c5-191bca9a663d,2024-08-11 14:06:34.000000,10.0,investments
a1bce1a3-4873-4f07-add3-2a5704de40b7,2024-08-11 13:54:53.000000,200.0,entertainment
5453f139-66ef-477c-84c5-191bca9a663d,2024-08-11 14:06:27.088268,190.0,shopping
8a07083b-6fc1-49c9-b01e-f7ea1b096f87,2024-08-11 14:31:22.000000,90.0,groceries
491b92c5-a425-4ddc-97ef-355b0460d23c,2024-08-11 13:46:37.000000,101.0,entertainment
rtQ-BZF-w6v4-85R,2024-08-11 13:51:07.000000,64.0,commute
8a07083b-6fc1-49c9-b01e-f7ea1b096f87,2024-08-11 14:30:22.000000,300.0,food & drinks
5453f139-66ef-477c-84c5-191bca9a663d,2024-08-11 12:53:40.000000,30.0,groceries
d75377ae-75c6-4812-869d-391faffc29f7,2024-08-11 14:15:34.000000,120.0,bills & utilities
5453f139-66ef-477c-84c5-191bca9a663d,2024-08-16 05:30:00.000000,200.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-08-16 05:30:00.000000,1500.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-08-16 05:30:00.000000,200.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-08-16 05:30:00.000000,360.0,food & drinks
5453f139-66ef-477c-84c5-191bca9a663d,2024-08-16 05:30:00.000000,170.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-08-16 05:30:00.000000,1000.0,uncategorised
5453f139-66ef-477c-84c5-191bca9a663d,2024-08-16 05:30:00.000000,20.0,food & drinks
5453f139-66ef-477c-84c5-191bca9a663d,2024-08-16 05:30:00.000000,20.0,finance
d0c0a7d3-b848-451c-b0b4-42942132517a,2024-08-04 19:38:46.000000,100.0,food & drinks
rtQ-BZF-w6v4-85R,2024-08-04 19:45:46.000000,16.0,groceries
8a07083b-6fc1-49c9-b01e-f7ea1b096f87,2024-08-04 20:06:14.000000,236.0,groceries
d75377ae-75c6-4812-869d-391faffc29f7,2024-08-04 21:36:56.000000,13.0,groceries
a1bce1a3-4873-4f07-add3-2a5704de40b7,2024-08-04 21:02:57.000000,150.0,entertainment
8a07083b-6fc1-49c9-b01e-f7ea1b096f87,2024-08-04 21:54:40.000000,150.0,food & drinks
5453f139-66ef-477c-84c5-191bca9a663d,2024-08-04 19:32:57.000000,1860.0,food & drinks
a1bce1a3-4873-4f07-add3-2a5704de40b7,2024-08-04 20:14:52.000000,22.0,groceries
8a07083b-6fc1-49c9-b01e-f7ea1b096f87,2024-08-04 21:13:11.000000,26.0,groceries
8a07083b-6fc1-49c9-b01e-f7ea1b096f87,2024-08-04 20:29:26.000000,10000.0,atm
a1bce1a3-4873-4f07-add3-2a5704de40b7,2024-08-04 20:50:20.000000,200.0,entertainment
8a07083b-6fc1-49c9-b01e-f7ea1b096f87,2024-08-04 21:39:21.000000,98.54,uncategorised
a1bce1a3-4873-4f07-add3-2a5704de40b7,2024-08-04 22:15:38.859053,200.0,entertainment
a1bce1a3-4873-4f07-add3-2a5704de40b7,2024-08-04 21:05:48.000000,101.0,entertainment
4Vd-MTG-1x8W-FUo,2024-08-04 20:59:44.000000,236.0,uncategorised
d75377ae-75c6-4812-869d-391faffc29f7,2024-08-04 19:12:28.000000,13.0,food & drinks
4Vd-MTG-1x8W-FUo,2024-08-04 20:11:43.000000,18.0,food & drinks
d0c0a7d3-b848-451c-b0b4-42942132517a,2024-08-04 20:27:34.000000,90.0,groceries
a1bce1a3-4873-4f07-add3-2a5704de40b7,2024-08-04 21:46:00.000000,10.0,groceries
8a07083b-6fc1-49c9-b01e-f7ea1b096f87,2024-08-04 20:28:19.000000,4500.0,atm
5453f139-66ef-477c-84c5-191bca9a663d,2024-08-04 19:35:35.000000,120.0,food & drinks
d75377ae-75c6-4812-869d-391faffc29f7,2024-08-04 21:46:25.000000,101.0,entertainment
8a07083b-6fc1-49c9-b01e-f7ea1b096f87,2024-08-04 20:30:39.000000,10000.0,atm
d75377ae-75c6-4812-869d-391faffc29f7,2024-08-04 21:02:05.000000,50.0,groceries
a1bce1a3-4873-4f07-add3-2a5704de40b7,2024-08-04 21:38:17.000000,10.0,uncategorised
8a07083b-6fc1-49c9-b01e-f7ea1b096f87,2024-08-04 20:27:10.000000,10000.0,atm
a1bce1a3-4873-4f07-add3-2a5704de40b7,2024-08-04 20:46:37.855949,200.0,entertainment
